id|Nationality|Nationality_Region|Nationality_IncomeGroup|aff_country|aff_country_Region|aff_country_IncomeGroup|Gender|Citations|Productivity|Degree
ur.010015205275.72|SK|Europe & Central Asia|High income|United States|North America|High income|male|2285|1|8
ur.010324357551.19|US|North America|High income|United States|North America|High income|male|2285|1|8
ur.01140056162.61|GB|Europe & Central Asia|High income|United States|North America|High income|male|2285|1|8
ur.016704737015.05|US|North America|High income|United States|North America|High income|male|2285|1|8
ur.013213606572.64|JM|Latin America & Caribbean|Upper middle income|United States|North America|High income|male|2285|1|8
ur.010503324312.72|US|North America|High income|United States|North America|High income|male|2285|1|8
ur.012247401167.04|NZ|East Asia & Pacific|High income|United States|North America|High income|male|2285|1|8
ur.012163556631.44|GB|Europe & Central Asia|High income|United States|North America|High income|male|2283|1|1
ur.010672532572.40|IT|Europe & Central Asia|High income|United States|North America|High income|male|2283|1|1
ur.0673415002.51||||Japan|East Asia & Pacific|High income|male|2283|1|1
ur.011565161622.45|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income|male|2283|1|1
ur.01050701626.12|US|North America|High income|United States|North America|High income||2282|1|2
ur.01312044745.37|AT|Europe & Central Asia|High income|United States|North America|High income|female|2282|1|2
ur.0702137017.70|BR|Latin America & Caribbean|Upper middle income|United States|North America|High income|male|2282|1|2
ur.01262361613.42|LK|South Asia|Lower middle income|United States|North America|High income||2281|1|1
ur.01125410252.16|TW|||United States|North America|High income|male|2281|1|1
ur.0676504756.20|ES|Europe & Central Asia|High income|Spain|Europe & Central Asia|High income|male|2280|1|4
ur.01145662053.07||||Spain|Europe & Central Asia|High income|male|2280|1|4
ur.01075465176.23|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|6593|3|9
ur.0645655406.88|CN|East Asia & Pacific|Upper middle income|China|East Asia & Pacific|Upper middle income|male|2280|1|4
ur.0613713074.61|SE|Europe & Central Asia|High income|United States|North America|High income|male|2280|1|1
ur.012103222741.92|DE|Europe & Central Asia|High income|United States|North America|High income||2280|1|1
ur.0617343710.37|GB|Europe & Central Asia|High income|United Kingdom|Europe & Central Asia|High income|male|2278|1|1
ur.01124740433.08|AE|Middle East & North Africa|High income|United States|North America|High income|female|2277|1|2
ur.014030704113.15|LK|South Asia|Lower middle income|United States|North America|High income|male|2277|1|2
ur.0755332074.14|CN|East Asia & Pacific|Upper middle income|United States|North America|High income|male|4313|2|3
ur.015372506733.52|CH|Europe & Central Asia|High income|Switzerland|Europe & Central Asia|High income|male|2268|1|0
ur.01255363355.22|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income|male|2267|1|9
ur.01251750147.35|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income|male|2267|1|9
ur.07702725057.18|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income||2267|1|9
ur.016233170742.74|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income||2267|1|9
ur.0601764407.15|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income||2267|1|9
ur.0632024506.92|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income||2267|1|9
ur.01166210717.01|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income|male|2267|1|9
ur.013324535452.49|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income|female|2267|1|9
ur.01214264442.80|TW|||Singapore|East Asia & Pacific|High income|male|2267|1|9
ur.011033346565.45|CN|East Asia & Pacific|Upper middle income|Singapore|East Asia & Pacific|High income||2267|1|9
ur.01110244453.30|CZ|Europe & Central Asia|High income|United States|North America|High income|male|2264|1|0
ur.016013070717.97|SE|Europe & Central Asia|High income|United States|North America|High income|male|2264|1|0
ur.010560062032.10|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income|male|2261|1|2
ur.016212434442.27|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income||2261|1|2
ur.015401414717.10|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income|male|2261|1|2
ur.0637334125.62|HR|Europe & Central Asia|High income|United States|North America|High income||2258|1|3
ur.01005221031.41|GR|Europe & Central Asia|High income|United States|North America|High income||2258|1|3
